APN,RecordType,DevelopmentRight,LandCapability,IPESScore,CumulativeBankedQuantity,RemainingBankedQuantity,LastUpdated,TransactionNumber,TransactionApprovalDate,SendingParcel,ReceivingParcel,AccelaID,JurisdictionPermitNumber,LandCapabilityCategory
081-151-003,Transfer Receiving Parcel,Coverage (potential),IPES,800.0,212,,10/07/2022,TRPA-TRF-1842,10/07/2022,036-010-009,,TRAN2021-1079,,Non-Sensitive
083-102-008,Transfer Receiving Parcel,Coverage (potential),5,,30,,05/28/2024,TRPA-TRF-2545,07/26/2022,092-240-021,,CORR2024-0597,CORR2024-0597,Non-Sensitive
083-162-012,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,07/01/2022,TRPA-TRF-1469,06/30/2022,090-153-010,,TRAN2020-1515,,Non-Sensitive
083-263-013,Transfer Receiving Parcel,Coverage (potential),3,,41,,02/17/2025,TRPA-TRF-2681,11/12/2020,085-360-003,,CORR2025-0192,CORR2025-0192,Sensitive
083-350-036,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,7,,01/25/2024,TRPA-TRF-2375,09/25/2023,085-360-003,,CORR2024-0051,CORR2024-0051,Non-Sensitive
085-050-032,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,723.0,1,,06/21/2024,TRPA-TRF-2559,06/11/2024,025-381-012,,TRAN2024-0355,,Sensitive
085-050-032,Transfer Receiving Parcel,Coverage (potential),IPES,723.0,755,,12/21/2024,TRPA-TRF-2650,07/10/2024,085-360-003,,ERSP2024-0039,ERSP2024-0039,Sensitive
085-250-008,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,01/17/2020,TRPA-TRF-813,01/03/2020,093-480-003,,TRAN2019-0122,,Non-Sensitive
085-280-043,Transfer Receiving Parcel,Restoration Credit,1b,,101,,12/20/2024,TRPA-TRF-2648,04/25/2023,084-010-047,,ERSP2020-0125,,SEZ
085-280-044,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,17,,10/27/2022,TRPA-TRF-2034,10/13/2022,093-480-009,,ERSP2020-0281-01,,Non-Sensitive
090-053-016,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,450,,06/18/2024,TRPA-TRF-2554,05/14/2024,092-010-035,,CORR2024-0682,CORR2024-0682,Non-Sensitive
090-092-050,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,10/19/2016,TRPA-TRF-382,09/08/2016,090-222-051,,TRAN2016-0463,,Non-Sensitive
090-092-050,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,10/19/2016,TRPA-TRF-383,09/08/2016,112-180-015,,TRAN2016-0464,,Non-Sensitive
090-115-056,Transfer Receiving Parcel,Coverage (potential),5,,235,,10/09/2018,TRPA-TRF-704,05/10/2018,090-202-035,,TRAN2018-0615,,Non-Sensitive
090-124-016,Transfer Receiving Parcel,Coverage (potential),IPES,796.0,247,,06/26/2024,TRPA-TRF-2564,11/13/2020,090-125-028,,CORR2024-0706,CORR2024-0706,Non-Sensitive
090-163-034,Transfer Receiving Parcel,Coverage (potential),IPES,756.0,169,,06/26/2024,TRPA-TRF-2563,08/18/2017,090-125-028,,CORR2024-0706,CORR2024-0706,Non-Sensitive
090-191-047,Transfer Receiving Parcel,Coverage (potential),7,,165,,06/26/2024,TRPA-TRF-2566,09/29/2021,090-125-028,,CORR2024-0706,CORR2024-0706,Non-Sensitive
090-191-048,Transfer Receiving Parcel,Coverage (potential),5,,125,,12/05/2023,TRPA-TRF-2342,10/19/2021,090-202-025,,CORR2023-1606,,Non-Sensitive
090-213-024,Transfer Receiving Parcel,Coverage (potential),IPES,759.0,1435,,01/15/2019,TRPA-TRF-799,12/03/2018,092-090-005,,TRAN2019-0058,CTC Transfer,Non-Sensitive
090-231-014,Transfer Receiving Parcel,Restoration Credit,5,,62,,02/05/2025,TRPA-TRF-2655,06/17/2024,084-010-047,,ERSP2022-0043,ERSP2022-0043,Non-Sensitive
090-231-014,Transfer Receiving Parcel,Coverage (potential),5,,9,,02/05/2025,TRPA-TRF-2656,06/17/2024,092-010-035,,ERSP2022-0043,ERSP2022-0043,Non-Sensitive
092-031-024,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),4,,1,,06/21/2024,TRPA-TRF-2560,06/13/2024,034-652-010,,TRAN2024-0138,,Non-Sensitive
092-083-019,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,797.0,1,,12/15/2021,TRPA-TRF-1819,10/20/2021,098-167-019,,TRAN2021-1039,,Non-Sensitive
092-100-004,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,1,,01/14/2020,TRPA-TRF-882,12/19/2019,090-066-024,,TRAN2019-0746,,Non-Sensitive
092-100-030,Transfer Receiving Parcel,Restoration Credit,1,,98,,02/26/2025,TRPA-TRF-2689,02/18/2025,084-010-047,,ERSP2024-0085,ERSP2024-0085,Sensitive
092-222-006,Transfer Receiving Parcel,Coverage (potential),IPES,741.0,125,,08/03/2023,TRPA-TRF-2314,06/30/2023,117-190-014,,CORR2023-0935,,Non-Sensitive
093-034-006,Transfer Receiving Parcel,Coverage (potential),5,,372,,05/28/2024,TRPA-TRF-2546,07/23/2021,092-240-021,,CORR2024-0597,CORR2024-0597,Non-Sensitive
093-094-005,Transfer Receiving Parcel,Restoration Credit,1b,,59,,12/20/2024,TRPA-TRF-2649,08/24/2022,084-010-047,,ERSP2021-0794,,SEZ
093-120-006,Transfer Receiving Parcel,Coverage (potential),3,,1,,02/26/2025,TRPA-TRF-2682,11/13/2024,085-360-003,,CORR2025-0237,CORR2025-0237,Sensitive
093-120-006,Transfer Receiving Parcel,Coverage (potential),5,,20,,02/26/2025,TRPA-TRF-2683,04/03/2023,085-360-003,,CORR2025-0237,CORR2025-0237,Non-Sensitive
093-271-009,Transfer Receiving Parcel,Coverage (potential),IPES,793.0,1010,,01/25/2024,TRPA-TRF-2376,12/08/2023,092-010-039,,CORR2024-0052,CORR2024-0052,Non-Sensitive
094-010-007,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,3,,10/24/2024,TRPA-TRF-2562,09/11/2024,117-100-086,,TRAN2024-0220,,Non-Sensitive
094-070-001,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,8,,08/16/2019,TRPA-TRF-702,07/30/2019,117-072-014,,TRAN2018-0590,TRAN2018-0590,Non-Sensitive
094-102-010,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,06/12/2023,TRPA-TRF-2123,05/22/2023,090-064-015,,TRAN2022-1502,,Non-Sensitive
094-110-021,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),5,,64,,09/27/2024,TRPA-TRF-2591,08/20/2024,027-040-043,,TRAN2024-0623,,Non-Sensitive
094-160-012,Transfer Receiving Parcel,Restoration Credit,1b,,129,,04/02/2025,TRPA-TRF-2748,03/26/2025,084-010-047,,ERSP2023-1796-01,ERSP2023-1796-01,SEZ
094-160-013,Transfer Receiving Parcel,Restoration Credit,1b,,709,,02/26/2025,TRPA-TRF-2693,12/10/2024,033-475-004,,ERSP2023-1154,ERSP2023-1154,SEZ
097-050-068,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/15/2023,TRPA-TRF-2111,08/25/2023,112-120-031,,TRAN2022-1088,,Non-Sensitive
097-050-068,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,726.0,1,,05/06/2024,TRPA-TRF-2332,12/19/2023,032-162-001,,TRAN2023-0631,,Non-Sensitive
097-050-069,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,739.0,1,,11/15/2023,TRPA-TRF-2112,08/25/2023,112-120-031,,TRAN2022-1088,,Non-Sensitive
097-050-069,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,739.0,1,,05/06/2024,TRPA-TRF-2333,12/19/2023,032-162-001,,TRAN2023-0631,,Non-Sensitive
097-122-013,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,1,,08/26/2024,TRPA-TRF-1274,09/28/2020,090-066-024,,TRAN2020-0421,,Non-Sensitive
097-122-024,Transfer Receiving Parcel,Restoration Credit,1b,,108,,05/03/2024,TRPA-TRF-2536,04/12/2024,084-010-047,,ERSP2022-0003,ERSP2022-0003,SEZ
097-130-027,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,02/23/2015,TRPA-TRF-119,10/11/2013,090-202-027,,TRAN2013-0849,tran2013-0849,Non-Sensitive
097-130-027,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,02/23/2015,TRPA-TRF-120,10/11/2013,090-202-028,,TRAN2013-0849,tran2013-0849,Non-Sensitive
097-130-028,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,02/23/2015,TRPA-TRF-121,10/11/2013,090-202-029,,TRAN2013-0849,tran2013-0849,Non-Sensitive
097-130-028,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,02/23/2015,TRPA-TRF-122,10/11/2013,090-202-030,,TRAN2013-0849,tran2013-0849,Non-Sensitive
097-130-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,02/23/2015,TRPA-TRF-123,10/11/2013,090-202-031,,TRAN2013-0849,tran2013-0849,Non-Sensitive
097-130-029,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,04/17/2014,TRPA-TRF-124,10/11/2013,090-202-032,,TRAN2014-0340,tran2013-0849,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2043,09/23/2022,093-480-005,,TRAN2022-0616,TRAN2022-0616,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2044,09/23/2022,093-480-006,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2045,09/23/2022,093-480-007,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2046,09/23/2022,093-480-008,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2047,09/23/2022,093-480-010,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2048,09/23/2022,093-480-011,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2049,09/23/2022,093-480-012,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2050,09/23/2022,093-480-013,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2051,09/23/2022,093-480-014,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2052,09/23/2022,093-480-015,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2053,09/23/2022,093-480-018,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2054,09/23/2022,093-480-019,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2055,09/23/2022,093-480-020,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2056,09/23/2022,093-480-021,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2057,09/23/2022,093-480-022,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2058,09/23/2022,093-480-023,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2059,09/23/2022,093-490-002,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2060,09/23/2022,093-490-003,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2061,09/23/2022,093-490-010,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2062,09/23/2022,093-490-011,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2063,09/23/2022,093-490-012,,TRAN2022-0616,,Non-Sensitive
097-140-003,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,11/08/2022,TRPA-TRF-2064,09/23/2022,093-490-013,,TRAN2022-0616,,Non-Sensitive
098-022-017,Transfer Receiving Parcel,Coverage (potential),IPES,760.0,1714,,08/28/2019,TRPA-TRF-884,09/06/2017,085-360-003,,ERSP2017-0656,,Non-Sensitive
098-330-004,Transfer Receiving Parcel,Coverage (hard),5,,11975,,07/26/2021,TRPA-TRF-1122,07/20/2021,097-050-029,,TRAN2020-0231,,Non-Sensitive
098-360-005,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),5,,1,,10/31/2023,TRPA-TRF-1273,09/28/2020,090-066-024,,TRAN2020-0422,,Non-Sensitive
111-150-009,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,1324,,11/27/2023,TRPA-TRF-2338,05/22/2023,092-010-035,,CORR2023-1522,CORR2023-1522,Non-Sensitive
111-280-017,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,161,,02/05/2025,TRPA-TRF-2532,09/28/2022,092-010-035,,CORR2024-0430,CORR2024-0430,Non-Sensitive
111-280-017,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,471,,02/05/2025,TRPA-TRF-2533,09/28/2022,092-010-035,,CORR2024-0430,CORR2024-0430,Non-Sensitive
112-060-018,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),IPES,891.0,1,,09/26/2022,TRPA-TRF-1880,03/11/2022,090-056-043,,TRAN2021-1540,,Non-Sensitive
112-260-011,Transfer Receiving Parcel,Coverage (potential),IPES,741.0,1710,,06/26/2024,TRPA-TRF-2567,07/16/2021,090-202-027,,CORR2024-0708,CORR2024-0708,Non-Sensitive
112-260-012,Transfer Receiving Parcel,Coverage (potential),IPES,775.0,649,,06/26/2024,TRPA-TRF-2565,07/16/2021,090-125-028,,CORR2024-0706,CORR2024-0706,Non-Sensitive
112-280-009,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,1631,,02/06/2025,TRPA-TRF-2657,04/19/2023,092-010-035,,CORR2025-0137,CORR2025-0137,Non-Sensitive
115-010-019,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),6,,1,,07/18/2022,TRPA-TRF-1999,07/06/2022,090-241-007,,TRAN2022-0563,,Non-Sensitive
115-040-004,Transfer Receiving Parcel,Coverage (potential),IPES,781.0,186,,05/28/2024,TRPA-TRF-2544,04/05/2022,090-212-036,,CORR2024-0596,CORR2024-0596,Non-Sensitive
115-040-082,Transfer Receiving Parcel,Coverage (potential),6,,266,,02/17/2025,TRPA-TRF-2680,07/28/2022,092-010-035,,CORR2025-0190,CORR2025-0190,Non-Sensitive
115-050-033,Transfer Receiving Parcel,Restoration Credit,1b,,99,,11/30/2023,TRPA-TRF-2340,05/12/2023,084-010-047,,ERSP2022-0001,ERSP2022-0001,SEZ
116-220-049,Transfer Receiving Parcel,Restoration Credit,1b,,118,,10/27/2022,TRPA-TRF-2036,10/11/2022,093-480-018,,ERSP2020-0074,ERSP2020-0074,SEZ
117-072-005,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),1b,,1,,11/13/2019,TRPA-TRF-832,11/04/2019,090-202-010,,TRAN2019-0385,,SEZ
117-090-039,Transfer Receiving Parcel,Coverage (potential),6,,86,,11/27/2023,TRPA-TRF-2337,08/17/2023,092-010-035,,CORR2023-1521,CORR2023-1521,Non-Sensitive
117-110-015,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,02/01/2019,TRPA-TRF-683,12/06/2018,117-100-086,,TRAN2018-0486,,Non-Sensitive
117-150-040,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,01/11/2019,TRPA-TRF-696,09/20/2018,093-480-001,,TRAN2018-0499,,Non-Sensitive
117-150-040,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),5,,1,,01/11/2019,TRPA-TRF-697,09/20/2018,093-480-002,,TRAN2018-0500,,Non-Sensitive
117-190-061,Transfer Receiving Parcel,Coverage (potential),IPES,786.0,190,,12/20/2024,TRPA-TRF-2643,04/19/2024,092-010-035,,CORR2024-1636,CORR2024-1636,Non-Sensitive
122-100-26,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),4,,1,,06/21/2024,TRPA-TRF-2556,06/11/2024,032-162-001,,TRAN2024-0084,,Non-Sensitive
122-591-01,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),4,,1,,04/21/2017,TRPA-TRF-242,04/20/2017,028-162-014,,TRAN2015-0086,ERSP2014-0780-01,Non-Sensitive
123-052-02,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),4,,20,,07/12/2016,TRPA-TRF-363,05/26/2016,032-201-013,,TRAN2016-0235,,Non-Sensitive
123-071-34,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),4,,10,,07/12/2016,TRPA-TRF-364,06/23/2016,029-441-004,,TRAN2016-0245,,Non-Sensitive
123-131-11,Transfer Receiving Parcel,Coverage (hard),IPES,728.0,1131,,10/05/2021,TRPA-TRF-1797,09/28/2021,123-032-21,,TRAN2021-0781,TRAN2021-0781,Non-Sensitive
124-921-17,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),4,,1,,10/15/2019,TRPA-TRF-840,07/31/2019,081-073-011,,TRAN2019-0397,,Non-Sensitive
125-451-09,Transfer Receiving Parcel,Coverage (potential),IPES,641.0,1518,,11/14/2024,TRPA-TRF-1287,09/21/2020,126-580-07,,TRAN2020-0993,,Sensitive
125-502-05,Transfer Receiving Parcel,Coverage (potential),4,,59,,11/19/2021,TRPA-TRF-1799,11/05/2021,131-100-01,,ERSP2021-0090,ERSP2021-0090,Non-Sensitive
125-522-02,Transfer Receiving Parcel,Coverage (hard),IPES,550.0,1995,,08/29/2017,TRPA-TRF-531,06/13/2017,126-294-16,,TRAN2017-0355,wt17-00038,Sensitive
125-541-14,Transfer Receiving Parcel,Coverage (hard),IPES,600.0,1781,,08/29/2017,TRPA-TRF-529,05/31/2017,126-080-26,,TRAN2017-0305,,Sensitive
127-040-07,Transfer Receiving Parcel,Coverage (hard),6,,511,,10/15/2019,TRPA-TRF-699,04/02/2019,127-030-39,,TRAN2018-0568,,Non-Sensitive
130-152-08,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,3700,,11/08/2022,TRPA-TRF-2066,08/12/2022,093-130-014,,TRAN2022-0367,,Non-Sensitive
130-163-27,Transfer Receiving Parcel,Coverage (hard),IPES,726.0,2860,,08/21/2019,TRPA-TRF-841,05/30/2019,122-052-08,,TRAN2019-0408,,Non-Sensitive
130-163-27,Transfer Receiving Parcel,Coverage (potential),IPES,726.0,1920,,02/22/2023,TRPA-TRF-1839,01/04/2022,131-100-01,,ERSP2018-1321-01,ERSP2018-1321-01,Non-Sensitive
130-201-11,Transfer Receiving Parcel,Coverage (potential),6,,600,,09/27/2021,TRPA-TRF-1787,09/22/2021,131-100-01,,ERSP2021-0656,ERSP-2021-0656,Non-Sensitive
130-302-26,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,3111,,09/07/2022,TRPA-TRF-1875,08/24/2022,127-040-03,,TRAN2022-0186,TRAN2022-0186,Non-Sensitive
130-311-07,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,2801,,07/23/2018,TRPA-TRF-552,05/11/2018,122-591-02,,TRAN2017-0753,,Non-Sensitive
131-014-03,Transfer Receiving Parcel,Coverage (potential),IPES,792.0,1572,,10/31/2018,TRPA-TRF-370,05/26/2016,124-061-04,,TRAN2016-0297,,Non-Sensitive
1318-10-310-052,Transfer Receiving Parcel,Coverage (potential),IPES,821.0,281,,11/19/2015,TRPA-TRF-86,01/30/2014,1318-15-201-003,,TRAN2013-1128,,Non-Sensitive
1318-15-111-085,Transfer Receiving Parcel,Coverage (potential),6,,269,,11/19/2015,TRPA-TRF-92,07/16/2014,1318-15-201-003,,TRAN2013-0527,,Non-Sensitive
1318-15-201-002,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),6,,1,,12/13/2017,TRPA-TRF-106,04/05/2013,1418-34-101-001,,TRAN2013-0102,,Non-Sensitive
1318-15-611-054,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,740.0,1,,03/29/2017,TRPA-TRF-373,06/30/2016,1318-16-801-003,,TRAN2016-0428,,Non-Sensitive
1318-15-611-054,Transfer Receiving Parcel,Coverage (potential),IPES,740.0,1271,,03/29/2017,TRPA-TRF-374,06/30/2016,1318-15-611-053,,TRAN2016-0429,,Non-Sensitive
1318-15-611-054,Transfer Receiving Parcel,Coverage (potential),IPES,740.0,673,,03/29/2017,TRPA-TRF-375,07/01/2016,1319-19-210-003,,TRAN2016-0430,,Non-Sensitive
1318-15-802-001,Transfer Receiving Parcel,Commercial Floor Area (CFA),4,,3992,,09/28/2019,TRPA-TRF-676,06/28/2019,1318-26-101-092,,TRAN2018-0461,,Non-Sensitive
1318-15-802-005,Transfer Receiving Parcel,Potential Residential Unit of Use (PRUU),4,,1,,08/08/2024,TRPA-TRF-834,07/15/2019,023-761-014,,TRAN2019-0387,,Non-Sensitive
1318-15-802-005,Transfer Receiving Parcel,Commercial Floor Area (CFA),4,,4500,,06/18/2021,TRPA-TRF-843,06/10/2021,023-393-027,,TRAN2019-0484,,Non-Sensitive
1318-23-301-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),4,,6,,03/06/2018,TRPA-TRF-639,03/06/2018,1318-22-002-103,,TRAN2014-0272,,Non-Sensitive
1318-23-311-015,Transfer Receiving Parcel,Coverage (potential),IPES,731.0,880,,11/19/2015,TRPA-TRF-104,08/01/2013,1318-26-501-005,,TRAN2013-0277,,Non-Sensitive
1318-23-311-016,Transfer Receiving Parcel,Coverage (potential),IPES,731.0,880,,11/19/2015,TRPA-TRF-103,08/01/2013,1318-26-501-005,,TRAN2013-0278,,Non-Sensitive
1318-23-311-017,Transfer Receiving Parcel,Coverage (potential),IPES,773.0,880,,11/19/2015,TRPA-TRF-102,08/01/2013,1318-26-501-005,,TRAN2013-0279,,Non-Sensitive
1318-23-311-018,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,731.0,1,,01/12/2016,TRPA-TRF-100,08/01/2013,1318-22-002-103,,TRAN2013-0287,,Non-Sensitive
1318-23-311-018,Transfer Receiving Parcel,Coverage (potential),IPES,731.0,880,,11/19/2015,TRPA-TRF-101,08/01/2013,1318-26-501-005,,TRAN2013-0280,,Non-Sensitive
1318-23-710-046,Transfer Receiving Parcel,Coverage (soft),1c,,20,,08/03/2018,TRPA-TRF-692,10/03/2017,1318-24-710-019,,TRAN2018-0488,ERSP2016-0741,Sensitive
1318-25-101-017,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,672.0,1,,04/30/2018,TRPA-TRF-315,02/08/2018,1318-24-404-016,,TRAN2015-0136,,Sensitive
1318-27-001-001,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,34,,11/19/2015,TRPA-TRF-90,02/25/2014,029-441-004,,TRAN2013-0750,,Non-Sensitive
1318-27-001-001,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,27,,11/19/2015,TRPA-TRF-93,02/25/2014,029-061-010,,TRAN2013-0360,,Non-Sensitive
1318-27-001-001,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,50,,11/19/2015,TRPA-TRF-94,02/25/2014,032-151-015,,TRAN2013-0357,,Non-Sensitive
1318-27-001-001,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,63,,11/19/2015,TRPA-TRF-97,02/25/2014,027-040-033,,TRAN2013-0356,,Non-Sensitive
1318-27-001-001,Transfer Receiving Parcel,Tourist Accommodation Unit (TAU),7,,20,,11/19/2015,TRPA-TRF-98,02/25/2014,029-061-008,,TRAN2013-0355,,Non-Sensitive
1319-18-413-009,Transfer Receiving Parcel,Coverage (hard),IPES,619.0,478,,07/23/2018,TRPA-TRF-651,06/14/2018,1318-24-404-018,,TRAN2018-0317,,Sensitive
1319-18-413-009,Transfer Receiving Parcel,Coverage (hard),IPES,619.0,870,,06/05/2019,TRPA-TRF-667,06/14/2018,1318-24-404-018,,TRAN2018-0317,TRAN2018-0317,Sensitive
132-011-07,Transfer Receiving Parcel,Coverage (potential),6,,3430,,06/15/2022,TRPA-TRF-1987,06/15/2022,131-100-01,,ERSP2021-0954,ERSP2021-0954,Non-Sensitive
132-012-05,Transfer Receiving Parcel,Coverage (hard),6,,175,,10/15/2019,TRPA-TRF-772,04/18/2019,124-071-52,,TRAN2019-0015,,Non-Sensitive
132-231-09,Transfer Receiving Parcel,Coverage (hard),6,,18000,,10/24/2024,TRPA-TRF-2595,09/16/2024,029-441-024,,TRAN2023-0736,,Non-Sensitive
132-240-03,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,6500,,08/31/2020,TRPA-TRF-920,07/21/2020,1318-22-002-014,,TRAN2019-0837,,Non-Sensitive
132-240-03,Transfer Receiving Parcel,Commercial Floor Area (CFA),6,,3200,,08/28/2020,TRPA-TRF-1120,07/15/2020,023-392-047,,TRAN2020-0208,,Non-Sensitive
1418-03-401-014,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),4,,1,,09/27/2023,TRPA-TRF-2327,09/21/2023,032-162-001,,TRAN2023-0893,,Non-Sensitive
1418-03-801-001,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,880.0,1,,02/02/2024,TRPA-TRF-2394,01/23/2024,032-162-001,,TRAN2023-1524,,Non-Sensitive
1418-10-401-003,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),4,,1,,01/30/2020,TRPA-TRF-978,01/29/2020,027-074-005,,TRAN2019-1196,,Non-Sensitive
1418-10-401-004,Transfer Receiving Parcel,Single-Family Residential Unit of Use (SFRUU),IPES,1004.0,1,,02/01/2019,TRPA-TRF-681,12/06/2018,1318-10-310-078,,TRAN2018-0468,,Non-Sensitive
